year,area,age,n,b,meanw,country,quarter,survey,meanl,cohort,n.old,b.old,meanl.sd,meanw.sd,survey2,area2
1985,spor,2,73986,4050,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1985,spor,3,29219,1862,0.1,portugal,3,SAR-PT-SUM,NA,1982,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1985,spor,4,6135,469,0.1,portugal,3,SAR-PT-SUM,NA,1981,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1985,spor,5,2176,158,0.1,portugal,3,SAR-PT-SUM,NA,1980,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1985,spor,6,1186,100,0.1,portugal,3,SAR-PT-SUM,NA,1979,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1985,swpor,0,3510,48,0,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,1,508304,17927,0,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,2,502951,26083,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,3,345297,20462,0.1,portugal,3,SAR-PT-SUM,NA,1982,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,4,149362,9798,0.1,portugal,3,SAR-PT-SUM,NA,1981,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,5,52146,3749,0.1,portugal,3,SAR-PT-SUM,NA,1980,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1985,swpor,6,6436,533,0.1,portugal,3,SAR-PT-SUM,NA,1979,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,can,1,43885,0,0,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,2,8139,0,0,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,3,617612,0,0,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,4,144173,0,0,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,5,279721,0,0,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,6,186948,0,0,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,7,135804,0,0,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,8,35043,0,0,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,9,26709,0,0,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,10,9636,0,0,spain,1,PELACUS,NA,1976,NA,NA,NA,NA,PELACUS,Cantabria
1986,can,11,2503,0,0,spain,1,PELACUS,NA,1975,NA,NA,NA,NA,PELACUS,Cantabria
1986,ngal,1,5989,NA,NA,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,2,6374,NA,NA,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,3,343893,NA,NA,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,4,67350,NA,NA,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,5,124120,NA,NA,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,6,88630,NA,NA,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,7,54480,NA,NA,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,8,14227,NA,NA,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,9,9386,NA,NA,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,9,2051,NA,NA,spain,1,PELACUS,NA,1976,NA,NA,NA,NA,PELACUS,Galicia
1986,ngal,11,266,NA,NA,spain,1,PELACUS,NA,1975,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,1,5193,NA,NA,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,2,6037,NA,NA,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,3,79170,NA,NA,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,4,3761,NA,NA,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,5,4996,NA,NA,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,6,3710,NA,NA,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,7,1642,NA,NA,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,8,391,NA,NA,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,9,201,NA,NA,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Galicia
1986,sgal,10,55,NA,NA,spain,1,PELACUS,NA,1976,NA,NA,NA,NA,PELACUS,Galicia
1986,npor,1,1120268,20186,0,portugal,1,PELAGO,NA,1985,1120268,20186,NA,NA,PELAGO,West_Iberia
1986,npor,2,1506747,54875,0,portugal,1,PELAGO,NA,1984,1506747,54875,NA,NA,PELAGO,West_Iberia
1986,npor,3,496750,21741,0,portugal,1,PELAGO,NA,1983,496750,21741,NA,NA,PELAGO,West_Iberia
1986,npor,4,194373,9693,0,portugal,1,PELAGO,NA,1982,194373,9693,NA,NA,PELAGO,West_Iberia
1986,npor,5,88078,5116,0.1,portugal,1,PELAGO,NA,1981,88078,5116,NA,NA,PELAGO,West_Iberia
1986,npor,6,21325,1416,0.1,portugal,1,PELAGO,NA,1980,21325,1416,NA,NA,PELAGO,West_Iberia
1986,spor,1,1051999,23150,0,portugal,1,PELAGO,NA,1985,1051999,23150,NA,NA,PELAGO,South_Iberia
1986,spor,2,1007153,33765,0,portugal,1,PELAGO,NA,1984,1007153,33765,NA,NA,PELAGO,South_Iberia
1986,spor,3,188648,8500,0,portugal,1,PELAGO,NA,1983,188648,8500,NA,NA,PELAGO,South_Iberia
1986,spor,4,222927,11318,0.1,portugal,1,PELAGO,NA,1982,222927,11318,NA,NA,PELAGO,South_Iberia
1986,spor,5,52051,3047,0.1,portugal,1,PELAGO,NA,1981,52051,3047,NA,NA,PELAGO,South_Iberia
1986,swpor,1,171599,2477,0,portugal,1,PELAGO,NA,1985,171599,2477,NA,NA,PELAGO,West_Iberia
1986,swpor,2,1510804,57522,0,portugal,1,PELAGO,NA,1984,1510804,57522,NA,NA,PELAGO,West_Iberia
1986,swpor,3,859078,40639,0,portugal,1,PELAGO,NA,1983,859078,40639,NA,NA,PELAGO,West_Iberia
1986,swpor,4,100224,5950,0.1,portugal,1,PELAGO,NA,1982,100224,5950,NA,NA,PELAGO,West_Iberia
1986,swpor,5,330434,18398,0.1,portugal,1,PELAGO,NA,1981,330434,18398,NA,NA,PELAGO,West_Iberia
1986,npor,0,1251898,20169,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,1,1015161,44656,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,2,797920,45395,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,3,312757,21838,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,4,89818,6729,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,5,15806,1272,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,6,11360,849,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,spor,0,48327,1534,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,1,306910,15342,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,2,306550,17769,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,3,172703,11673,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,4,170201,12208,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,5,70439,4917,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,spor,6,23389,1734,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1986,swpor,0,1192877,11715,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,1,289824,13697,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,2,565093,32334,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,3,172925,10962,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,4,62893,4513,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,5,41021,2917,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,swpor,6,14885,1060,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1986,npor,0,1278410,20904,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,npor,1,1749310,67537,0,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,npor,2,379782,20680,0.1,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,npor,3,338816,21324,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,npor,4,11210,871,0.1,portugal,3,SAR-PT-SUM,NA,1982,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,spor,0,134946,3219,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1986,spor,1,304191,10088,0,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1986,spor,2,158116,7626,0,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1986,spor,3,24583,1238,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1986,spor,4,10005,458,0,portugal,3,SAR-PT-SUM,NA,1982,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1986,swpor,0,2594026,15869,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,swpor,1,649416,25288,0,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,swpor,2,1953631,113517,0.1,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1986,swpor,3,354817,23323,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,can,1,15647,0,0,spain,1,PELACUS,NA,1986,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,2,48313,0,0,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,3,4187,0,0,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,4,725519,0,0,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,5,231434,0,0,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,6,156575,0,0,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,7,186795,0,0,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,8,82445,0,0,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,9,29326,0,0,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,10,14752,0,0,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Cantabria
1987,can,11,3234,0,0,spain,1,PELACUS,NA,1976,NA,NA,NA,NA,PELACUS,Cantabria
1987,ngal,1,476916,NA,NA,spain,1,PELACUS,NA,1986,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,2,148312,NA,NA,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,3,13230,NA,NA,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,4,1578007,NA,NA,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,5,338491,NA,NA,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,6,312685,NA,NA,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,7,331787,NA,NA,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,8,74415,NA,NA,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,9,31112,NA,NA,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,10,10193,NA,NA,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Galicia
1987,ngal,11,829,NA,NA,spain,1,PELACUS,NA,1976,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,1,139462,NA,NA,spain,1,PELACUS,NA,1986,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,2,59882,NA,NA,spain,1,PELACUS,NA,1985,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,3,9994,NA,NA,spain,1,PELACUS,NA,1984,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,4,86881,NA,NA,spain,1,PELACUS,NA,1983,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,5,16310,NA,NA,spain,1,PELACUS,NA,1982,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,6,11853,NA,NA,spain,1,PELACUS,NA,1981,NA,NA,NA,NA,PELACUS,Galicia
