"B1+_2016","F2016","Catch_2016","B1+_2017","F","Catch_2017","B1+_2018","Catch_2018","Change_B1+_2017-2018(%)","Change_Catch_2015-2017(%)"
141095.8518837,0.190082807018801,22704,146202.249170254,0,0,167109.407589713,0,14.3001619592817,-100
141095.8518837,0.190082807018801,22704,146202.249170254,0.032,4325.41685149919,163908.15321243,4914.08314098784,12.1105551676957,-78.9977319566574
141095.8518837,0.190082807018801,22704,146202.249170254,0.064,8547.86105071715,160787.574438625,9510.98101513267,9.97612919852246,-58.4954525429875
141095.8518837,0.190082807018801,22704,146202.249170254,0.118,15447.5573141751,155698.251598795,16602.4510130923,6.49511377727307,-24.9936479036107
141095.8518837,0.190082807018801,22704,146202.249170254,0.156,20138.9768688387,152245.067437527,21130.7388376548,4.13319104293391,-2.21423625992789
141095.8518837,0.190082807018801,22704,146202.249170254,0.190082807018801,24235.7032368483,149234.635410199,24893.5054746822,2.07410368660832,17.6776142217998
141095.8518837,0.190082807018801,22704,146202.249170254,0,0,167109.407589713,0,14.3001619592817,-100
141095.8518837,0.190082807018801,22704,146202.249170254,0.0293635872957533,3972.98627660364,164168.816895424,4521.4846609928,12.2888449576776,-80.7089754401751
141095.8518837,0.190082807018801,22704,146202.249170254,0.0587271745915067,7859.07052685607,161296.315030788,8774.51941360537,10.3240996265087,-61.8399078185134
141095.8518837,0.190082807018801,22704,146202.249170254,0.08809076188726,11660.4393942546,158490.144580178,12774.1899603339,8.40472392159578,-43.3821797831103
141095.8518837,0.190082807018801,22704,146202.249170254,0.117454349183013,15379.221126414,155748.5957034,16534.7462804191,6.52954833959411,-25.325457526057
141095.8518837,0.190082807018801,22704,146202.249170254,0.146817936478767,19017.4871848734,153070.004814095,20069.6488812883,4.69743501404207,-7.65968296694744
141095.8518837,0.190082807018801,22704,146202.249170254,0.17618152377452,22577.2538096544,150452.753295453,23391.612480131,2.90727683693089,9.62493384391175
141095.8518837,0.190082807018801,22704,146202.249170254,0.205545111070273,26060.4835398614,147895.266252177,26512.6472592017,1.15799660506642,26.5379221088442
141095.8518837,0.190082807018801,22704,146202.249170254,0.234908698366027,29469.0866915727,145396.011297653,29444.0978303785,-0.551453809484368,43.088557458778
141095.8518837,0.190082807018801,22704,146202.249170254,0.26427228566178,32804.9227942401,142953.497375338,32196.6800368877,-2.22209426554942,59.285868927752
141095.8518837,0.190082807018801,22704,146202.249170254,0.293635872957533,36069.8019867771,140566.273613366,34780.5157129224,-3.85491713627803,75.1386457316864
141095.8518837,0.190082807018801,22704,146202.249170254,0.322999460253287,39265.4863744811,138232.928211451,37205.165515102,-5.45088807048574,90.6554438569865
141095.8518837,0.190082807018801,22704,146202.249170254,0.35236304754904,42393.6913479053,135952.087359142,39479.6599333273,-7.01094673254743,105.844592464387
141095.8518837,0.190082807018801,22704,146202.249170254,0.381726634844793,45456.086864761,133722.414184552,41612.5285825458,-8.53600752145024,120.714200113287
141095.8518837,0.190082807018801,22704,146202.249170254,0.411090222140547,48454.2986959003,131542.607732691,43611.8278712524,-10.0269602696002,135.272160811683
141095.8518837,0.190082807018801,22704,146202.249170254,0.4404538094363,51389.9096364015,129411.401972547,45485.1671371736,-11.4846709219596,149.526159896652
141095.8518837,0.190082807018801,22704,146202.249170254,0.469817396732053,54264.4606827471,127327.564832113,47239.7333355161,-12.9099821960751,163.483679750188
141095.8518837,0.190082807018801,22704,146202.249170254,0.499180984027807,57079.4521770571,125289.897260551,48882.3143603727,-14.3037142235412,177.152005355092
141095.8518837,0.190082807018801,22704,146202.249170254,0.52854457132356,59836.3449193143,123297.23231673,50419.3210753681,-15.6666651734277,190.538229695426
141095.8518837,0.190082807018801,22704,146202.249170254,0.557908158619313,62536.561248488,121348.434283377,51856.8081253627,-16.9996118581833,203.649259005968
141095.8518837,0.190082807018801,22704,146202.249170254,0.587271745915067,65181.4860934396,119442.397806124,53200.4935970148,-18.3033103225164,216.491817874928
