"B1+_2015","F2015","Catch_2015","B1+_2016","F","Catch_2016","B1+_2017","Catch_2017","Change_B1+_2016-2017(%)","Change_Catch_2014-2016(%)"
99006.4723058906,0.218546397772591,20595,109692.545789297,0,0,132143.310446083,0,20.46699207794,-100
99006.4723058906,0.218546397772591,20595,109692.545789297,0.032,3442.57324271134,129770.222990227,4115.83966831441,18.3035930622818,-87.6773586603822
99006.4723058906,0.218546397772591,20595,109692.545789297,0.064,6806.77550855082,127455.127030339,7984.98947983142,16.1930613545618,-75.6352451037163
99006.4723058906,0.218546397772591,20595,109692.545789297,0.118,12312.0653788019,123675.401367166,13995.1537815256,12.7473161254983,-55.9291393046989
99006.4723058906,0.218546397772591,20595,109692.545789297,0.156,16061.3363717926,121107.76637432,17863.4419659147,10.4065599926452,-42.5086777852602
99006.4723058906,0.218546397772591,20595,109692.545789297,0.218546397772591,22017.626650924,117039.985875804,23641.7250700217,6.69821274876794,-21.1882225183212
99006.4723058906,0.218546397772591,20595,109692.545789297,0,0,132143.310446083,0,20.46699207794,-100
99006.4723058906,0.218546397772591,20595,109692.545789297,0.04564936454926,4887.00849061167,128775.738895152,5795.49627090962,17.3969826012713,-82.5070234944238
99006.4723058906,0.218546397772591,20595,109692.545789297,0.09129872909852,9616.38492057494,125524.768739993,11101.7385802656,14.4332715015182,-65.5782886795967
99006.4723058906,0.218546397772591,20595,109692.545789297,0.13694809364778,14194.2012755897,122385.776877013,15959.5884218798,11.5716441772606,-49.1920609701595
99006.4723058906,0.218546397772591,20595,109692.545789297,0.18259745819704,18626.2782047676,119354.334776573,20406.4869073398,8.80806340827835,-33.3275054364507
99006.4723058906,0.218546397772591,20595,109692.545789297,0.2282468227463,22918.1958002287,116426.200043825,24476.7432814732,6.13866166208123,-17.9646482190956
99006.4723058906,0.218546397772591,20595,109692.545789297,0.27389618729556,27075.3039049606,113597.308351897,28201.7988846044,3.55973373988488,-3.08433963217224
99006.4723058906,0.218546397772591,20595,109692.545789297,0.31954555184482,31102.7319698483,110863.765730817,31610.4686689349,1.0677297468962,11.3317811198832
99006.4723058906,0.218546397772591,20595,109692.545789297,0.36519491639408,35005.3984798457,108221.841196325,34729.1621941523,-1.34075162755127,25.3013196831238
99006.4723058906,0.218546397772591,20595,109692.545789297,0.41084428094334,38788.0199683708,105667.959703415,37582.0858610004,-3.66896953382104,38.8411588209878
99006.4723058906,0.218546397772591,20595,109692.545789297,0.4564936454926,42455.1196381504,103198.695410151,40191.4279896456,-5.92004710294491,51.9674892724889
99006.4723058906,0.218546397772591,20595,109692.545789297,0.50214301004186,46011.0356059288,100810.765237925,42577.5282109807,-8.09697731733948,64.6958392640324
99006.4723058906,0.218546397772591,20595,109692.545789297,0.54779237459112,49459.9287876756,98501.0227149732,44759.0325123639,-10.2026286232986,77.0411027344032
99006.4723058906,0.218546397772591,20595,109692.545789297,0.59344173914038,52805.7904401871,96266.4520905342,46753.0351636475,-12.2397502967543,89.0175663298176
99006.4723058906,0.218546397772591,20595,109692.545789297,0.63909110368964,56052.4493742631,94104.1627076185,48575.2086437426,-14.2109775732815,100.638935223388
99006.4723058906,0.218546397772591,20595,109692.545789297,0.6847404682389,59203.5788539684,92011.3836228799,50239.9225915236,-16.1188365528319,111.91835781093
99006.4723058906,0.218546397772591,20595,109692.545789297,0.73038983278816,62262.7031958368,89985.4584626103,51760.3527167913,-17.9657488892099,122.868449332715
99006.4723058906,0.218546397772591,20595,109692.545789297,0.77603919733742,65233.2040812608,88023.8405043636,53148.5805265639,-19.7540362738555,133.501314468583
99006.4723058906,0.218546397772591,20595,109692.545789297,0.82168856188668,68118.3265947177,86124.0879741863,54415.6846484843,-21.4859247230729,143.828568951682
99006.4723058906,0.218546397772591,20595,109692.545789297,0.86733792643594,70921.1849999211,84283.859549882,55571.8244660068,-23.163548677429,153.86136024412
99006.4723058906,0.218546397772591,20595,109692.545789297,0.9129872909852,73644.7682654466,82500.9100611655,56626.3167187135,-24.7889549216612,163.610387315864
