"B1+_2020","F2020","Catch_2020","B1+_2021","F","Catch_2021","B1+_2022","Catch_2022","Change_B1+_2021-2022(%)","Change_Catch_2019-2021(%)"
297724.32,0.075090880347,22142.9945,418095.43404383,0,1.48625488812823e-28,423668.270891183,1.66724917942372e-28,1.3329102385674,-100
297724.32,0.075090880347,22142.9945,418095.43404383,0.032,12150.3946358208,415162.193215779,13336.6279011625,-0.701572078814883,-11.6913064655577
297724.32,0.075090880347,22142.9945,418095.43404383,0.064,24026.1621907982,406867.744871255,25808.7834410457,-2.68543692620148,74.6214059139215
297724.32,0.075090880347,22142.9945,418095.43404383,0.118,43463.7277478079,393334.782664963,45037.5636143653,-5.92224869317065,215.893032990883
297724.32,0.075090880347,22142.9945,418095.43404383,0.156,56703.477022127,384148.631488419,57305.0010462874,-8.11939088333897,312.119122445772
297724.32,0.075090880347,22142.9945,418095.43404383,0.075090880347,28079.4169621714,404041.301448755,29939.279811261,-3.36146521839372,104.08033660305
297724.32,0.075090880347,22142.9945,418095.43404383,0,1.48625488812823e-28,423668.270891183,1.66724917942372e-28,1.3329102385674,-100
297724.32,0.075090880347,22142.9945,418095.43404383,0.00976548145862733,3737.50686687002,421049.671438686,4164.82277501201,0.706594034352906,-72.8359153441603
297724.32,0.075090880347,22142.9945,418095.43404383,0.0195309629172547,7448.96270588327,418451.161471247,8245.65116236014,0.0850828300075337,-45.8611687554545
297724.32,0.075090880347,22142.9945,418095.43404383,0.029296444375882,11134.5779974705,415872.572381779,12244.0442396293,-0.531663701885464,-19.0742304686025
297724.32,0.075090880347,22142.9945,418095.43404383,0.0390619258345093,14794.5614070232,413313.737047167,16161.5328806851,-1.1436855338061,7.52641609002671
297724.32,0.075090880347,22142.9945,418095.43404383,0.0488274072931367,18429.1198011235,410774.489814824,19999.6202642848,-1.75102228651419,33.9422744203726
297724.32,0.075090880347,22142.9945,418095.43404383,0.058592888751764,22038.4582636254,408254.666489365,23759.782373471,-2.35371323223618,60.1748350655619
297724.32,0.075090880347,22142.9945,418095.43404383,0.0683583702103913,25622.7801115891,405754.104319405,27443.4684859149,-2.95179729782243,86.2255757277192
297724.32,0.075090880347,22142.9945,418095.43404383,0.0781238516690187,29182.2869110701,403272.641984483,31052.1016553765,-3.54531306787561,112.095961382719
297724.32,0.075090880347,22142.9945,418095.43404383,0.087889333127646,32717.1784927632,400810.1195821,34587.0791844417,-4.13429878784993,137.787444393891
297724.32,0.075090880347,22142.9945,418095.43404383,0.0976548145862733,36227.6529675045,398366.378614884,38049.7730886969,-4.718792367122,163.30146462468
297724.32,0.075090880347,22142.9945,418095.43404383,0.107420296044901,39713.9067416309,395941.261977868,41441.5305524973,-5.29883138203322,188.639449550289
297724.32,0.075090880347,22142.9945,418095.43404383,0.117185777503528,43176.1345322,393534.613945885,44763.6743764812,-5.87445307890412,213.802814368286
297724.32,0.075090880347,22142.9945,418095.43404383,0.126951258962155,46614.5293820706,391146.280161085,48017.503416983,-6.44569437702102,238.792962108217
297724.32,0.075090880347,22142.9945,418095.43404383,0.136716740420783,50029.2826748454,388776.107620563,51204.2930174897,-7.01259187159488,263.611283740204
297724.32,0.075090880347,22142.9945,418095.43404383,0.14648222187941,53420.5841496779,386423.944664099,54325.2954322897,-7.57518183669313,288.259158282565
297724.32,0.075090880347,22142.9945,418095.43404383,0.156247703338037,56788.6219159431,384089.640962014,57381.7402424524,-8.13350022814431,312.737952908436
297724.32,0.075090880347,22142.9945,418095.43404383,0.166013184796665,60133.5824677754,381773.047503143,60374.8347642816,-8.68758268641594,337.049023051435
297724.32,0.075090880347,22142.9945,418095.43404383,0.175778666255292,63455.6506984725,379474.016582905,63305.7644503784,-9.23746453946591,361.193712510348
297724.32,0.075090880347,22142.9945,418095.43404383,0.185544147713919,66755.0099147695,377192.4017915,66175.6932834482,-9.78318080556757,385.173353552873
297724.32,0.075090880347,22142.9945,418095.43404383,0.195309629172547,70031.8418509812,374928.058002199,68985.7641629851,-10.3247661961087,408.989267018407
