"B1+_2020","F2020","Catch_2020","B1+_2021","F","Catch_2021","B1+_2022","Catch_2022","Change_B1+_2021-2022(%)","Change_Catch_2019-2021(%)"
245868.736,0.081464574016875,22143.0156,488514.614253553,0,0,696433.031200823,0,42.561350444954,-100
245868.736,0.081464574016875,22143.0156,488514.614253553,0.032,15166.7999189833,686172.861764554,21685.6434004315,40.4610715306892,10.2317643351974
245868.736,0.081464574016875,22143.0156,488514.614253553,0.064,30049.1166868667,676131.274580521,42282.8749032515,38.4055368770584,118.395915209619
245868.736,0.081464574016875,22143.0156,488514.614253553,0.118,54536.7431683526,659666.668064024,74732.1003651561,35.0351962493467,296.371116692757
245868.736,0.081464574016875,22143.0156,488514.614253553,0.156,71311.7130988006,648430.695457771,95946.7217507554,32.7351683119181,418.29100368149
245868.736,0.081464574016875,22143.0156,488514.614253553,0.081464574016875,38053.8419172728,670741.14795347,53085.8745127991,37.3021662777394,176.573974515441
245868.736,0.081464574016875,22143.0156,488514.614253553,0,0,696433.031200823,0,42.561350444954,-100
245868.736,0.081464574016875,22143.0156,488514.614253553,0.014809656708,7055.0244738003,691657.082826399,10175.2622314753,41.5837034646848,-48.7243321380126
245868.736,0.081464574016875,22143.0156,488514.614253553,0.029619313416,14048.32347365,686928.588069334,20110.5160446289,40.6157703427064,2.1027171667085
245868.736,0.081464574016875,22143.0156,488514.614253553,0.044428970124,20980.5833372467,682246.99623765,29811.7463692587,39.6574383511779,52.486136192227
245868.736,0.081464574016875,22143.0156,488514.614253553,0.059238626832,27852.4819895265,677611.763521941,39284.7859710436,38.7085961711355,102.430852072955
245868.736,0.081464574016875,22143.0156,488514.614253553,0.07404828354,34664.6890514678,673022.352905336,48535.3193867526,37.7691338740622,151.941731590433
245868.736,0.081464574016875,22143.0156,488514.614253553,0.088857940248,41417.8659474385,668478.234074679,57568.8867560463,36.838942903706,201.023581953528
245868.736,0.081464574016875,22143.0156,488514.614253553,0.103667596956,48112.6660111081,663978.883332901,66390.8875526328,35.9179160581422,249.681151568198
245868.736,0.081464574016875,22143.0156,488514.614253553,0.118477253664,54749.7345899433,659523.783512578,75006.5842174567,35.0059474720784,297.91913079696
245868.736,0.081464574016875,22143.0156,488514.614253553,0.133286910372,61329.7091483064,655112.423890654,83421.1056965342,34.1029325993985,345.742152708209
245868.736,0.081464574016875,22143.0156,488514.614253553,0.14809656708,67853.2193691769,650744.300104308,91639.450885973,33.2087681959404,393.154793815527
245868.736,0.081464574016875,22143.0156,488514.614253553,0.162906223788,74320.887254513,646418.914067962,99666.4919866487,32.323352302507,440.161574807103
245868.736,0.081464574016875,22143.0156,488514.614253553,0.177715880496,80733.3272242738,642135.7738914,107506.977770942,31.4465842281054,486.766961265425
245868.736,0.081464574016875,22143.0156,488514.614253553,0.192525537204,87091.1462141185,637894.393798994,115165.536763876,30.5783645334116,532.975364377358
245868.736,0.081464574016875,22143.0156,488514.614253553,0.207335193912,93394.943771803,633694.29405001,122646.680340933,29.7185950144585,578.791141634743
245868.736,0.081464574016875,22143.0156,488514.614253553,0.22214485062,99645.3121522886,629535.000859998,129954.805744761,28.8671786865421,624.218597525652
245868.736,0.081464574016875,22143.0156,488514.614253553,0.236954507328,105842.836411583,625416.046323226,137094.19902293,28.0240197683456,669.261984216418
245868.736,0.081464574016875,22143.0156,488514.614253553,0.251764164036,111988.094499332,621336.968336167,144069.037888832,27.1890236662758,713.925502224578
245868.736,0.081464574016875,22143.0156,488514.614253553,0.266573820744,118081.657350171,617297.31052201,150883.394507774,26.3620969590105,758.213301082838
245868.736,0.081464574016875,22143.0156,488514.614253553,0.281383477452,124124.088973867,613296.622156186,157541.238210235,25.5431473822538,802.129479994194
245868.736,0.081464574016875,22143.0156,488514.614253553,0.29619313416,130115.946544254,609334.458092895,164046.438134232,24.7320838136959,845.678088478328
