"B1+_2020","F2020","Catch_2020","B1+_2021","F","Catch_2021","B1+_2022","Catch_2022","Change_B1+_2021-2022(%)","Change_Catch_2019-2021(%)"
245868.736,0.081464574016875,22143.0156,488514.614253553,0,0,446740.983678952,0,-8.55115268934812,-100
245868.736,0.081464574016875,22143.0156,488514.614253553,0.032,12904.9050320067,437640.300757518,14189.8728942271,-10.414082201772,-6.2076075470758
245868.736,0.081464574016875,22143.0156,488514.614253553,0.064,25534.141926318,428752.815820014,27433.3754581938,-12.2333696249506,85.5812386501137
245868.736,0.081464574016875,22143.0156,488514.614253553,0.118,46239.5807075084,414223.617228301,47786.9540944717,-15.20752805702,236.067633959405
245868.736,0.081464574016875,22143.0156,488514.614253553,0.156,60367.8983024142,404340.514425535,60719.6226289637,-17.2306206144182,338.751745564595
245868.736,0.081464574016875,22143.0156,488514.614253553,0.081464574016875,32312.9133157739,423990.298984033,34281.7857854127,-13.2082671401986,134.849108884851
245868.736,0.081464574016875,22143.0156,488514.614253553,0,0,446740.983678952,0,-8.55115268934812,-100
245868.736,0.081464574016875,22143.0156,488514.614253553,0.014809656708,6007.11734532276,442502.318624026,6688.35592594432,-9.41881660998685,-56.3404840124057
245868.736,0.081464574016875,22143.0156,488514.614253553,0.029619313416,11954.401579334,438309.951068881,13167.4763247819,-10.277003332108,-13.1158329574775
245868.736,0.081464574016875,22143.0156,488514.614253553,0.044428970124,17842.5353199166,434163.332809252,19443.0438490402,-11.125825074312,29.678914407366
245868.736,0.081464574016875,22143.0156,488514.614253553,0.059238626832,23672.1927797717,430061.922518098,25520.5920441882,-11.9653926474176,72.0486582361454
245868.736,0.081464574016875,22143.0156,488514.614253553,0.07404828354,29444.039875207,426005.185655567,31405.5092525052,-12.7958154728903,113.998238384986
245868.736,0.081464574016875,22143.0156,488514.614253553,0.088857940248,35158.7343334684,421992.594380193,37103.0424138688,-13.6172016010217,155.532435192202
245868.736,0.081464574016875,22143.0156,488514.614253553,0.103667596956,40816.9257986359,418023.62746128,42618.300766215,-14.429657728865,196.655970247946
245868.736,0.081464574016875,22143.0156,488514.614253553,0.118477253664,46419.2559361041,414097.770192469,47956.259448351,-15.2332892179269,237.373507153567
245868.736,0.081464574016875,22143.0156,488514.614253553,0.133286910372,51966.3585356649,410214.514306473,53121.7630077256,-16.0282001116224,277.689652270813
245868.736,0.081464574016875,22143.0156,488514.614253553,0.14809656708,57458.8596132133,406373.357890956,58119.5288156967,-16.8144931524941,317.608955461022
245868.736,0.081464574016875,22143.0156,488514.614253553,0.162906223788,62897.3775110936,402573.805305553,62954.1503927618,-17.5922697991987,357.135910814441
245868.736,0.081464574016875,22143.0156,488514.614253553,0.177715880496,68282.5229971059,398815.367099998,67630.1006461532,-18.3616302432662,396.274957369797
245868.736,0.081464574016875,22143.0156,488514.614253553,0.192525537204,73614.8993621901,395097.559933361,72151.7350221356,-19.1226734256318,435.030479824262
245868.736,0.081464574016875,22143.0156,488514.614253553,0.207335193912,78895.1025168067,391419.906494373,76523.2945752786,-19.8754970529469,473.406809233945
245868.736,0.081464574016875,22143.0156,488514.614253553,0.22214485062,84123.7210860304,387781.935422815,80748.9089569162,-20.6201976136695,511.40822370503
245868.736,0.081464574016875,22143.0156,488514.614253553,0.236954507328,89301.336503376,384183.181231973,84832.5993249465,-21.3568703939384,549.038949075698
245868.736,0.081464574016875,22143.0156,488514.614253553,0.251764164036,94428.523103373,380623.184232133,88778.2811770658,-22.0856094932343,586.303159588956
245868.736,0.081464574016875,22143.0156,488514.614253553,0.266573820744,99505.8482129053,377101.490455101,92589.7671094751,-22.80650783983,623.20497855649
245868.736,0.081464574016875,22143.0156,488514.614253553,0.281383477452,104533.872241334,373617.651579743,96270.7695030415,-23.5196572060329,659.748479013682
245868.736,0.081464574016875,22143.0156,488514.614253553,0.29619313416,109513.148769421,370171.224858523,99824.9031388454,-24.2251482232232,695.937684365884
